City,Year,Month Number,Month,TotalBNBImputed,Month-Year,Monthly change in BNB
Chinsali,2013,1,January,1660.67,January 2013,
Chinsali,2013,2,February,1660.67,February 2013,0.0
Chinsali,2013,3,March,1632.62,March 2013,-28.05
Chinsali,2013,4,April,1660.67,April 2013,-55.62
Chinsali,2013,5,May,1660.67,May 2013,29.6
Chinsali,2013,6,June,1660.67,June 2013,54.07
Chinsali,2013,7,July,1694.74,July 2013,34.07
Chinsali,2013,8,August,1672.74,August 2013,-22.0
Chinsali,2013,9,September,1679.6,September 2013,6.86
Chinsali,2013,10,October,1674.53,October 2013,-5.07
Chinsali,2013,11,November,1660.67,November 2013,-13.86
Chinsali,2013,12,December,1660.67,December 2013,86.89
Chinsali,2014,1,January,1911.25,January 2014,163.69
Chinsali,2014,2,February,1911.25,February 2014,-122.81
Chinsali,2014,3,March,1911.25,March 2014,122.81
Chinsali,2014,4,April,1964.85,April 2014,53.6
Chinsali,2014,5,May,1911.25,May 2014,57.95
Chinsali,2014,6,June,1911.25,June 2014,-111.55
Chinsali,2014,7,July,1911.25,July 2014,-190.25
Chinsali,2014,8,August,1908.25,August 2014,187.25
Chinsali,2014,9,September,1926.52,September 2014,18.27
Chinsali,2014,10,October,1911.25,October 2014,120.4
Chinsali,2014,11,November,1911.25,November 2014,-135.67
Chinsali,2014,12,December,1911.25,December 2014,0.0
Chinsali,2015,1,January,2355.95,January 2015,200.15
Chinsali,2015,2,February,2355.95,February 2015,125.0
Chinsali,2015,3,March,2355.95,March 2015,-266.77
Chinsali,2015,4,April,2355.95,April 2015,386.32
Chinsali,2015,5,May,2355.95,May 2015,0.0
Chinsali,2015,6,June,2355.95,June 2015,0.0
Chinsali,2015,7,July,2355.95,July 2015,0.0
Chinsali,2015,8,August,2355.95,August 2015,0.0
Chinsali,2015,9,September,2355.95,September 2015,0.0
Chinsali,2015,10,October,2355.95,October 2015,0.0
Chinsali,2015,11,November,2355.95,November 2015,0.0
Chinsali,2015,12,December,2355.95,December 2015,750.43
Chinsali,2016,1,January,2652.5,January 2016,-453.88
Chinsali,2016,2,February,2868.67,February 2016,216.17
Chinsali,2016,3,March,2741.45,March 2016,
Chinsali,2016,4,April,2688.25,April 2016,-180.42
Chinsali,2016,5,May,2746.83,May 2016,58.58
Chinsali,2016,6,June,2729.42,June 2016,-17.41
Chinsali,2016,7,July,2692.25,July 2016,-37.17
Chinsali,2016,8,August,2741.45,August 2016,
Chinsali,2016,9,September,2765.3,September 2016,73.05
Chinsali,2016,10,October,2741.45,October 2016,
Chinsali,2016,11,November,2741.45,November 2016,
Chinsali,2016,12,December,2788.35,December 2016,23.05
Chinsali,2017,1,January,2728.0,January 2017,-60.35
Chinsali,2017,2,February,2740.65,February 2017,12.65
Chinsali,2017,3,March,2719.4,March 2017,-21.25
Chinsali,2017,4,April,2906.65,April 2017,187.25
Chinsali,2017,5,May,2777.65,May 2017,-129.0
Chinsali,2017,6,June,2788.65,June 2017,11.0
Chinsali,2017,7,July,2770.55,July 2017,-18.1
Chinsali,2017,8,August,2816.73,August 2017,
Chinsali,2017,9,September,2834.65,September 2017,64.1
Chinsali,2017,10,October,2939.83,October 2017,105.18
Chinsali,2017,11,November,2866.75,November 2017,-73.08
Chinsali,2017,12,December,2911.25,December 2017,44.5
Chinsali,2018,1,January,3452.75,January 2018,541.5
Chinsali,2018,2,February,3698.6,February 2018,-53.37
Chinsali,2018,3,March,3701.0,March 2018,301.62
Chinsali,2018,4,April,3760.0,April 2018,59.0
Chinsali,2018,5,May,3786.0,May 2018,26.0
Chinsali,2018,6,June,3728.5,June 2018,-57.5
Chinsali,2018,7,July,3638.0,July 2018,-90.5
Chinsali,2018,8,August,3628.0,August 2018,-10.0
Chinsali,2018,9,September,3643.25,September 2018,15.25
Chinsali,2018,10,October,3668.0,October 2018,24.75
Chinsali,2018,11,November,3698.6,November 2018,314.0
Chinsali,2018,12,December,3698.6,December 2018,14.33
Chinsali,2019,1,January,4637.19,January 2019,2963.14
Chinsali,2019,2,February,3883.0,February 2019,-3076.47
Chinsali,2019,3,March,4054.25,March 2019,171.25
Chinsali,2019,4,April,4426.08,April 2019,
Chinsali,2019,5,May,4092.75,May 2019,38.5
Chinsali,2019,6,June,4048.0,June 2019,-44.75
Chinsali,2019,7,July,4744.54,July 2019,696.54
Chinsali,2019,8,August,4721.84,August 2019,-22.7
Chinsali,2019,9,September,4621.23,September 2019,-100.61
Chinsali,2019,10,October,4671.53,October 2019,50.3
Chinsali,2019,11,November,4450.34,November 2019,-221.19
Chinsali,2019,12,December,4762.18,December 2019,311.84
Chinsali,2020,1,January,4863.79,January 2020,101.61
Chinsali,2020,2,February,5122.1,February 2020,258.31
Chinsali,2020,3,March,4919.24,March 2020,-202.86
Chinsali,2020,4,April,6639.9,April 2020,1720.66
Chinsali,2020,5,May,6077.84,May 2020,-562.06
Chinsali,2020,6,June,6106.22,June 2020,28.38
Chinsali,2020,7,July,5221.71,July 2020,-884.51
Chinsali,2020,8,August,4712.75,August 2020,-508.96
Chinsali,2020,9,September,3950.07,September 2020,-762.68
Chinsali,2020,10,October,5330.01,October 2020,1379.94
Chinsali,2020,11,November,5422.53,November 2020,92.52
Chinsali,2020,12,December,5878.91,December 2020,456.38
Chinsali,2021,1,January,5479.28,January 2021,-399.63
Chinsali,2021,2,February,5388.13,February 2021,-91.15
Chinsali,2021,3,March,5336.28,March 2021,-51.85
Chinsali,2021,4,April,5906.59,April 2021,570.31
Chinsali,2021,5,May,5433.96,May 2021,-1763.8
Chinsali,2021,6,June,5822.49,June 2021,1679.7
Chinsali,2021,7,July,5962.13,July 2021,139.64
Chinsali,2021,8,August,5618.41,August 2021,
Chinsali,2021,9,September,5618.41,September 2021,
Chinsali,2021,10,October,5618.41,October 2021,
Chinsali,2021,11,November,5618.41,November 2021,
Chinsali,2021,12,December,5618.41,December 2021,
Chipata,2010,1,January,1990.35,January 2010,
Chipata,2010,2,February,1990.35,February 2010,0.0
Chipata,2010,3,March,1990.35,March 2010,0.0
Chipata,2010,4,April,1990.35,April 2010,0.0
Chipata,2010,5,May,1990.35,May 2010,0.0
Chipata,2010,6,June,1990.35,June 2010,0.0
Chipata,2010,7,July,1990.35,July 2010,0.0
Chipata,2010,8,August,1990.35,August 2010,0.0
Chipata,2010,9,September,1990.35,September 2010,0.0
Chipata,2010,10,October,1990.35,October 2010,0.0
Chipata,2010,11,November,1990.35,November 2010,0.0
Chipata,2010,12,December,1990.35,December 2010,0.0
Chipata,2011,1,January,1973.34,January 2011,-17.01
Chipata,2011,2,February,1973.34,February 2011,22.61
Chipata,2011,3,March,1973.34,March 2011,2.7
Chipata,2011,4,April,1973.34,April 2011,-47.19
Chipata,2011,5,May,1973.34,May 2011,21.88
Chipata,2011,6,June,1959.56,June 2011,-13.78
Chipata,2011,7,July,1973.34,July 2011,-8.3
Chipata,2011,8,August,1973.34,August 2011,22.08
Chipata,2011,9,September,1973.46,September 2011,0.12
Chipata,2011,10,October,1971.68,October 2011,-1.78
Chipata,2011,11,November,1973.34,November 2011,1.66
Chipata,2011,12,December,1984.71,December 2011,11.37
Chipata,2012,1,January,1896.35,January 2012,-88.36
Chipata,2012,2,February,1888.1,February 2012,-8.25
Chipata,2012,3,March,1906.99,March 2012,18.89
Chipata,2012,4,April,1922.59,April 2012,15.6
Chipata,2012,5,May,1919.99,May 2012,-2.6
Chipata,2012,6,June,1936.46,June 2012,16.47
Chipata,2012,7,July,1936.46,July 2012,0.0
Chipata,2012,8,August,1955.09,August 2012,18.63
Chipata,2012,9,September,1936.46,September 2012,-18.63
Chipata,2012,10,October,1994.39,October 2012,57.93
Chipata,2012,11,November,1955.89,November 2012,-38.5
Chipata,2012,12,December,1988.79,December 2012,32.9
Chipata,2013,1,January,2142.05,January 2013,51.78
Chipata,2013,2,February,2050.57,February 2013,10.0
Chipata,2013,3,March,2056.97,March 2013,6.4
Chipata,2013,4,April,2153.57,April 2013,96.6
Chipata,2013,5,May,2152.17,May 2013,-1.4
Chipata,2013,6,June,2154.12,June 2013,1.95
Chipata,2013,7,July,2165.84,July 2013,11.72
Chipata,2013,8,August,2181.34,August 2013,15.5
Chipata,2013,9,September,2182.48,September 2013,1.14
Chipata,2013,10,October,2184.85,October 2013,2.37
Chipata,2013,11,November,2184.85,November 2013,0.0
Chipata,2013,12,December,2197.32,December 2013,12.47
Chipata,2014,1,January,2197.32,January 2014,0.0
Chipata,2014,2,February,2197.32,February 2014,0.0
Chipata,2014,3,March,2197.32,March 2014,0.0
Chipata,2014,4,April,2247.32,April 2014,50.0
Chipata,2014,5,May,2266.83,May 2014,19.51
Chipata,2014,6,June,2244.37,June 2014,-22.46
Chipata,2014,7,July,2275.69,July 2014,31.32
Chipata,2014,8,August,2283.69,August 2014,8.0
Chipata,2014,9,September,2276.99,September 2014,-6.7
Chipata,2014,10,October,2276.99,October 2014,0.0
Chipata,2014,11,November,2276.99,November 2014,0.0
Chipata,2014,12,December,2285.38,December 2014,8.39
Chipata,2015,1,January,2370.36,January 2015,17.42
Chipata,2015,2,February,2370.36,February 2015,64.54
Chipata,2015,3,March,2370.36,March 2015,-100.66
Chipata,2015,4,April,2370.36,April 2015,103.68
Chipata,2015,5,May,2370.36,May 2015,0.0
Chipata,2015,6,June,2370.36,June 2015,0.0
Chipata,2015,7,July,2370.36,July 2015,0.0
Chipata,2015,8,August,2370.36,August 2015,0.0
Chipata,2015,9,September,2370.36,September 2015,0.0
Chipata,2015,10,October,2370.36,October 2015,0.0
Chipata,2015,11,November,2370.36,November 2015,0.0
Chipata,2015,12,December,2370.36,December 2015,174.24
Chipata,2016,1,January,2624.85,January 2016,80.25
Chipata,2016,2,February,2533.56,February 2016,-91.29
